pos	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T
0	0	0	0	192	0	0	0	212	0	0	0	201	0	0	0	165	0	0	0	195	0	0	0	130	0	0	0	150	0	0	0	260	0	0	0	227	0	0	0	199	0	0	0	268	0	0	0	65	0	0	0	67	0	0	2	117
1	0	0	193	0	0	0	212	0	0	0	203	0	0	0	166	0	0	0	197	0	0	0	131	0	0	0	150	0	0	0	262	0	0	0	232	0	0	0	201	0	0	0	270	0	0	0	66	0	0	0	69	0	2	0	117	0
2	0	0	193	0	0	0	216	0	0	0	207	0	0	0	166	0	0	0	201	0	0	0	132	0	0	0	152	0	0	0	265	0	0	0	237	0	0	0	204	0	0	0	274	0	0	0	71	0	0	0	75	0	0	0	122	2
3	1	1	0	191	1	0	0	216	2	0	0	205	1	0	0	165	0	0	0	201	0	0	0	132	0	0	0	152	0	0	0	265	0	0	0	237	0	0	0	204	0	0	0	274	0	0	0	73	0	0	2	75	0	2	1	124
4	0	0	0	194	0	0	0	218	0	0	1	208	0	0	0	167	0	0	0	202	0	0	0	132	0	0	0	151	0	0	0	265	0	0	0	237	0	0	0	204	0	0	1	275	0	0	0	74	0	0	0	78	0	2	0	126
5	0	194	0	0	0	220	0	0	0	208	0	1	0	166	1	0	0	202	0	0	0	132	0	0	0	152	1	0	0	265	0	0	0	239	0	0	0	204	0	0	0	277	0	0	0	75	0	0	0	79	0	0	0	130	0	2
6	0	196	0	0	0	224	0	0	0	218	0	0	0	174	0	0	1	210	0	0	0	137	0	0	0	153	1	0	1	267	0	1	0	244	0	0	0	210	0	0	0	288	0	0	0	79	0	1	0	84	0	0	0	138	0	0
7	196	0	0	0	225	0	0	0	219	0	0	0	174	0	0	0	211	0	0	0	137	0	0	0	153	0	1	0	269	0	0	0	245	0	0	0	210	0	1	0	290	0	0	0	81	0	0	0	85	0	0	0	140	0	0	0
8	197	0	0	0	227	0	0	0	219	0	0	0	176	1	0	0	213	0	0	0	139	0	0	1	155	0	0	0	271	0	0	1	247	0	1	0	212	0	0	0	296	0	0	0	85	0	0	0	88	0	0	0	141	1	0	0
9	197	0	0	0	227	0	0	0	219	0	0	0	177	0	0	0	213	0	0	0	140	0	0	0	155	0	0	0	271	0	0	1	248	0	0	0	210	1	0	1	297	0	0	0	88	0	0	0	94	0	0	0	144	1	0	0
10	0	0	196	1	0	0	228	0	0	0	221	0	0	0	178	0	0	0	215	0	0	0	141	0	0	0	155	0	0	0	273	0	0	0	250	0	0	0	212	0	1	0	299	0	0	0	93	0	0	0	98	1	0	0	146	0
11	198	0	0	0	230	0	0	0	221	0	0	0	179	0	0	0	215	0	0	0	141	0	0	0	158	0	0	0	273	0	1	0	251	0	0	0	212	0	1	0	305	0	0	0	94	0	0	0	98	1	0	0	147	0	0	0
12	0	0	198	0	0	0	229	1	0	0	221	0	0	0	179	0	0	0	215	0	0	0	141	0	0	0	159	0	1	0	275	0	0	0	252	0	0	0	214	0	0	0	305	0	0	0	94	0	0	0	99	0	0	0	146	1
13	198	0	0	1	233	0	0	0	223	0	0	0	179	0	0	0	218	0	0	0	142	0	0	0	159	0	0	0	279	0	0	0	255	0	0	0	215	0	1	0	306	0	0	2	95	0	0	0	104	0	1	0	147	2	0	0
14	0	0	0	200	0	0	0	234	0	0	0	225	0	0	0	181	0	0	0	221	0	0	0	142	0	0	0	161	1	0	0	280	0	0	0	257	0	0	1	217	0	0	0	311	0	0	0	97	0	0	0	105	0	0	0	149
15	0	217	0	0	0	255	0	0	0	252	0	0	1	208	0	0	0	244	0	0	0	159	0	0	0	177	0	0	1	317	0	0	0	277	0	0	2	235	0	0	0	331	0	0	0	122	0	1	0	135	0	0	0	170	0	0
16	0	0	221	0	0	0	256	0	1	0	253	0	0	0	211	0	0	0	247	0	0	0	161	0	0	0	179	0	1	0	321	0	0	0	277	0	0	0	240	0	0	0	332	1	0	0	124	0	0	0	138	1	0	0	168	1
17	0	0	222	0	0	0	256	0	0	0	255	0	0	0	212	0	0	0	249	0	0	0	162	0	1	0	181	0	0	0	321	0	0	0	277	0	0	0	240	0	0	0	334	0	0	0	125	0	0	0	139	0	0	0	167	3
18	1	0	223	0	0	0	256	0	0	0	257	0	1	0	212	0	0	0	249	0	0	0	165	0	0	0	183	0	0	0	324	0	1	0	277	1	0	0	242	0	0	0	339	0	0	0	132	0	0	0	146	0	0	0	177	0
19	216	0	0	0	238	0	0	0	242	0	0	0	205	0	1	1	242	0	0	0	164	0	0	0	182	0	0	0	306	0	0	0	253	0	0	0	235	0	0	0	314	0	0	0	133	0	0	0	143	0	1	1	178	0	1	0
20	213	1	0	0	235	0	0	0	240	0	0	0	205	0	0	0	245	0	0	0	165	0	0	0	183	0	0	0	307	0	0	0	250	0	0	0	234	0	0	0	316	0	0	0	132	0	0	0	137	0	1	0	171	0	0	0
21	0	0	0	203	0	0	0	224	0	0	0	223	0	0	0	203	0	0	0	236	0	0	0	158	0	0	0	178	0	0	1	281	0	0	1	229	0	0	0	221	0	1	0	289	0	0	0	135	0	0	0	139	0	0	0	171
